angDist,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.107533,53.140408,24.493067,53.140408,24.493067,53.1404360692691,24.4930519804355,0.003,0.002,90,68860012362308992,53.14054753215,0.0822,24.49284537223,0.0540,7.6961,0.0925,23.559,0.168,-47.986,0.124,0,6.79803e+03,1.09217e+01,16.107409,1.05455e+03,1.41765e+01,17.793722,9.13844e+03,5.02382e+01,14.859739,2.933983,,,0,3458.49,0.9640,0.5450,,
0.138719,53.176254,23.566795,53.176254,23.566795,53.1762663865466,23.5667584505086,0.010,0.004,90,67998201404864896,53.17636405151,0.2449,23.56656669616,0.1483,7.2080,0.2266,20.792,0.657,-44.537,0.260,0,4.04157e+03,4.89139e+00,16.671990,5.70670e+02,2.78496e+01,18.460424,5.76216e+03,2.02429e+01,15.360456,3.099968,,,0,4392.75,0.9273,0.5462,,
0.118557,53.214275,25.579544,53.214275,25.579544,53.2142638217923,25.5795128226830,0.001,0.001,90,69370941672125184,53.21437401006,0.0461,25.57929839823,0.0302,6.9951,0.0504,23.084,0.095,-49.802,0.069,0,8.20627e+04,9.24790e+01,13.403002,2.69999e+04,1.28180e+02,14.272983,8.12051e+04,2.71483e+02,12.487962,1.785021,4.82,5.33,7,4019.84,0.6177,0.2740,0.68,0.109
0.018398,53.239834,27.288858,53.239834,27.288858,53.2398373479251,27.2888543699430,0.006,0.005,90,117846450835917568,53.23993906679,0.1991,27.28865797254,0.1308,7.5683,0.2032,20.996,0.407,-45.615,0.291,0,1.37070e+03,2.95007e+00,17.846008,1.52415e+02,1.53454e+01,19.893818,2.03305e+03,1.27022e+01,16.491550,3.402268,,,0,,,,,
0.100179,53.25152,25.996056,53.25152,25.996056,53.2515462931719,25.9960438129500,0.002,0.002,90,69575313395795584,53.25164928853,0.0521,25.99584709100,0.0418,7.3973,0.0633,21.501,0.104,-45.690,0.098,0,1.66822e+05,1.35882e+02,12.632732,6.56434e+04,1.71194e+02,13.308411,1.45231e+05,2.51964e+02,11.856773,1.451637,1.93,1.25,7,4490.11,0.2150,0.0975,0.65,0.155
0.079536,53.274277,22.134232,53.274277,22.134232,53.2742659482368,22.1342512730455,0.001,0.001,90,61554650949438208,53.27436936179,0.0389,22.13405363809,0.0297,7.4340,0.0426,22.249,0.085,-45.902,0.068,0,6.24323e+05,9.35086e+02,11.199842,3.04551e+05,1.06334e+03,11.642237,4.50929e+05,1.04271e+03,10.626649,1.015588,6.45,0.98,4,5120.90,0.0740,0.0370,0.88,0.481
0.101969,53.293736,22.522045,53.293736,22.522045,53.2937091952991,22.5220305861487,0.001,0.001,90,67586365580734976,53.29380312990,0.0457,22.52182311275,0.0328,5.3732,0.0510,20.153,0.096,-48.187,0.072,0,2.65786e+04,1.26495e+01,14.627034,6.61892e+03,1.99149e+01,15.799420,3.03267e+04,4.11458e+01,13.557356,2.242065,,,0,3963.86,,,0.53,0.062
0.166712,53.307938,23.006475,53.307938,23.006475,53.3078969177100,23.0064482315854,0.002,0.001,90,67680854859714816,53.30800319775,0.0921,23.00623933884,0.0510,7.9184,0.1032,22.721,0.132,-48.517,0.087,1,3.96961e+05,4.04737e+02,11.691497,1.80464e+05,6.50867e+02,12.210415,3.07259e+05,9.54105e+02,11.043158,1.167257,5.20,1.03,2,4959.99,0.0080,0.0050,0.71,0.279
0.137575,53.41248,22.352493,53.41248,22.352493,53.4124787236056,22.3524550761197,0.003,0.003,90,67574575893991296,53.41255008976,0.1051,22.35225041031,0.0778,7.9410,0.1178,15.330,0.221,-47.535,0.165,0,2.42291e+03,3.39091e+00,17.227522,4.00952e+02,8.36282e+00,18.843658,3.22674e+03,1.29536e+01,15.990010,2.853648,,,0,,,,,
0.192887,53.444305,23.80553,53.444305,23.80553,53.4443087264712,23.8054770537448,0.003,0.002,90,68006241583701888,53.44442056185,0.1024,23.80526961385,0.0662,8.0134,0.1073,23.765,0.204,-48.180,0.132,0,7.89466e+03,1.16895e+01,15.945032,1.43977e+03,3.88353e+01,17.455654,1.03967e+04,3.63830e+01,14.719678,2.735976,,,0,4014.46,,,,
