angDist,_RAJ2000,_DEJ2000,recno,ID,RA2000,DE2000,Vmag,e_Vmag,o_Vmag,B-V,e_B-V,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.163638,28.993,37.5786389,42,407,01 55 58.32,+37 34 43.1,12.98,,,0.65,,28.9929679427957,37.5786765922475,0.001,0.001,0,342535328463439104,28.99301341615,0.0381,37.57860594178,0.0313,1.7674,0.0454,8.370,0.069,-16.409,0.070,0,1.44757e+05,4.47371e+01,12.786769,7.67682e+04,9.91441e+01,13.138435,9.83944e+04,6.68442e+01,12.279494,0.858941,15.79,3.52,4,5728.60,0.5217,0.2720,1.38,1.836
0.135686,28.9976667,37.6801389,43,413,01 55 59.44,+37 40 48.5,12.303,0.016,4,0.517,0.022,28.9976400778308,37.6801701514361,0.004,0.003,90,342537213952679936,28.99769163571,0.1165,37.68012189432,0.1047,2.1705,0.1289,9.477,0.254,-11.208,0.222,0,2.56193e+05,8.52499e+01,12.166949,1.43089e+05,2.57290e+02,12.462372,1.65238e+05,2.16924e+02,11.716646,0.745726,7.50,1.14,6,6061.00,0.3070,0.1430,1.32,2.120
0.206410,29.0122917,37.6090833,44,429,01 56 02.95,+37 36 32.7,14.27,,,0.85,,29.0122202511249,37.6090741492054,0.001,0.001,0,342535706420556544,29.01227314595,0.0247,37.60902502008,0.0232,2.2483,0.0293,9.732,0.051,-11.411,0.054,0,4.46501e+04,3.44123e+01,14.063810,2.14057e+04,7.59582e+01,14.525065,3.33348e+04,1.03096e+02,13.454677,1.070389,,,0,5113.37,0.0163,0.0080,0.78,0.377
0.174119,29.0160417,37.4749722,45,434,01 56 03.85,+37 28 29.9,15.04,,,0.24,,29.0159809738791,37.4749681141256,0.001,0.001,0,342530346301391232,29.01603001799,0.0303,37.47492973771,0.0292,0.8713,0.0357,9.040,0.063,-8.913,0.066,1,2.55730e+04,1.16226e+01,14.668911,1.38874e+04,2.72883e+01,14.994837,1.70825e+04,2.14870e+01,14.180543,0.814294,,,0,5824.00,0.1380,0.0750,1.13,1.327
0.046570,29.015375,37.9895556,46,435,01 56 03.69,+37 59 22.4,11.467,0.017,2,0.447,0.01,29.0153609951540,37.9895488534214,0.001,0.001,90,342931530606658304,29.01541347451,0.0418,37.98949830263,0.0313,2.2512,0.0446,9.606,0.075,-11.741,0.072,0,5.49204e+05,2.60587e+02,11.339031,3.25130e+05,6.90769e+02,11.571245,3.26786e+05,3.71579e+02,10.976261,0.594984,4.83,0.61,5,6711.90,0.7420,0.3665,1.51,4.193
0.031587,29.016375,37.6033333,47,436,01 56 03.93,+37 36 12.0,13.68,,,0.71,,29.0163641582520,37.6033350910815,0.001,0.001,90,342535500262127360,29.01638985578,0.0228,37.60328628819,0.0203,1.8112,0.0270,4.729,0.049,-11.335,0.046,0,7.47031e+04,2.07671e+01,13.505019,3.87269e+04,5.69124e+01,13.881357,5.18157e+04,1.19494e+02,12.975767,0.905590,,,0,5477.56,0.2120,0.1105,1.07,0.922
0.062621,29.0314167,37.5579444,48,444,01 56 07.54,+37 33 28.6,,,,,,29.0314379120912,37.5579488510991,0.001,0.001,90,342532339166204928,29.03149244689,0.0273,37.55789816012,0.0253,2.2618,0.0329,10.041,0.058,-11.773,0.057,0,2.86640e+04,1.18885e+01,14.545025,1.27865e+04,2.89595e+01,15.084505,2.27669e+04,3.54878e+01,13.868662,1.215843,,,0,4963.00,0.0977,0.0570,0.67,0.246
0.267094,29.0334167,37.4432778,49,447,01 56 08.02,+37 26 35.8,14.27,,,0.8,,29.0333369599023,37.4433164834008,0.001,0.001,90,342529521667676544,29.03335739214,0.0272,37.44326518596,0.0232,1.3277,0.0305,3.768,0.055,-11.914,0.051,0,3.44017e+04,1.14620e+01,14.346914,1.82424e+04,2.73547e+01,14.698681,2.35734e+04,2.40168e+01,13.830864,0.867817,,,0,5725.40,0.0163,0.0090,0.89,0.773
0.158544,29.0343333,38.2372222,50,450,01 56 08.24,+38 14 14.0,12.861,0.0,1,0.562,0.0,29.0342782493607,38.2372305574442,0.001,0.001,0,343127823496069888,29.03437216914,0.0338,38.23717529761,0.0307,1.8600,0.0376,17.134,0.068,-12.835,0.073,0,1.57074e+05,4.34911e+01,12.698107,8.47602e+04,1.07059e+02,13.030908,1.03889e+05,1.12340e+02,12.220501,0.810407,-19.71,1.72,7,5799.00,0.3215,0.1605,1.33,1.791
0.156487,29.0373333,37.6646111,51,455,01 56 08.96,+37 39 52.6,10.512,0.013,2,0.395,0.003,29.0373215362939,37.6646535594188,0.002,0.002,0,342536290536098176,29.03737910426,0.0600,37.66459368067,0.0556,2.5448,0.0704,10.584,0.123,-13.907,0.126,0,1.32860e+06,1.74101e+03,10.379877,7.96592e+05,3.46327e+03,10.598298,7.70637e+05,1.95952e+03,10.044795,0.553503,11.48,3.43,3,6814.00,1.1790,0.5880,2.02,7.943
0.130288,29.0429167,37.7499722,52,461,01 56 10.30,+37 44 59.9,10.054,0.002,4,0.384,0.006,29.0429175809046,37.7500083844879,0.001,0.001,0,342912800253322240,29.04297103455,0.0449,37.74995665925,0.0396,2.1111,0.0540,9.816,0.083,-12.014,0.090,0,1.96541e+06,7.14619e+02,9.954730,1.17539e+06,1.24302e+03,10.175935,1.13980e+06,1.26033e+03,9.619848,0.556087,17.22,2.54,4,6646.24,,,3.11,17.057
0.304133,29.0462917,37.7530833,53,465,01 56 11.11,+37 45 11.1,11.229,0.012,4,0.412,0.007,29.0462584281244,37.7531635811758,0.002,0.002,90,342912800253321600,29.04631133162,0.0546,37.75311129642,0.0456,2.2100,0.0568,9.715,0.108,-12.144,0.101,0,6.64663e+05,3.04211e+02,11.131862,3.98196e+05,4.50079e+02,11.351145,3.89311e+05,9.12618e+02,10.786179,0.564966,5.27,0.85,8,6802.04,0.7335,0.3515,1.65,5.268
0.036014,29.0536667,38.0286667,54,472,01 56 12.88,+38 01 43.2,11.06,,,0.46,,29.0536548861602,38.0286630281227,0.001,0.001,0,342932046002729600,29.05371129518,0.0434,38.02861203635,0.0365,2.3039,0.0497,10.320,0.079,-11.843,0.084,0,7.95744e+05,4.42551e+02,10.936433,4.63648e+05,7.24180e+02,11.185917,4.82027e+05,5.79452e+02,10.554242,0.631675,7.82,2.39,6,6539.60,,,1.88,5.799
